# Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ
1555669000 ; 11.6924 ; 3.28072 ; 0 ; 0
1555759000 ; 11.707 ; 3.28293 ; 0 ; 0
1555841000 ; 11.6875 ; 3.28285 ; 0 ; 0
1555923000 ; 11.6875 ; 3.28064 ; 0 ; 0
1556006000 ; 11.7045 ; 3.28087 ; 0 ; 0
1556098000 ; 11.6911 ; 3.28056 ; 0 ; 0
1556181000 ; 11.7033 ; 3.28079 ; 0 ; 0
1556270000 ; 11.7167 ; 3.28094 ; 0 ; 0
1556353000 ; 11.6997 ; 3.28255 ; 0 ; 0
1556447000 ; 11.6948 ; 3.28064 ; 0 ; 0
1556541000 ; 11.6899 ; 3.28163 ; 0 ; 0
1556630000 ; 11.6863 ; 3.283 ; 0 ; 0
1556718000 ; 11.696 ; 3.2811 ; 0 ; 0
1556809000 ; 11.7216 ; 3.28133 ; 0 ; 0
1556900000 ; 11.6984 ; 3.2827 ; 0 ; 0
1556994000 ; 11.7045 ; 3.2811 ; 0 ; 0
1557087000 ; 11.7009 ; 3.2811 ; 0 ; 0
1557178000 ; 11.6863 ; 3.28087 ; 0 ; 0
1557264000 ; 11.6863 ; 3.28255 ; 0 ; 0
1557354000 ; 11.6911 ; 3.28094 ; 0 ; 0
1557440000 ; 11.6814 ; 3.28087 ; 0 ; 0
1557523000 ; 11.6826 ; 3.28049 ; 0 ; 0
1557607000 ; 11.6936 ; 3.28285 ; 0 ; 0
1557690000 ; 11.7045 ; 3.28079 ; 0 ; 0
1557773000 ; 11.6984 ; 3.28094 ; 0 ; 0
1557868000 ; 11.6826 ; 3.28117 ; 0 ; 0
1557951000 ; 11.6838 ; 3.28087 ; 0 ; 0
1558045000 ; 11.6936 ; 3.28087 ; 0 ; 0
1558139000 ; 11.6936 ; 3.28079 ; 0 ; 0
1558223000 ; 11.6814 ; 3.28087 ; 0 ; 0
1558313000 ; 11.6948 ; 3.28072 ; 0 ; 0
1558399000 ; 11.6899 ; 3.28102 ; 0 ; 0
1558488000 ; 11.7009 ; 3.28308 ; 0 ; 0
1558578000 ; 11.7009 ; 3.2811 ; 0 ; 0
1558668000 ; 11.6936 ; 3.28102 ; 0 ; 0
1558754000 ; 11.696 ; 3.28316 ; 0 ; 0
1558843000 ; 11.6948 ; 3.28079 ; 0 ; 0
1558935000 ; 11.7094 ; 3.28102 ; 0 ; 0
1559027000 ; 24.2967 ; 3.28377 ; 0 ; 0
1559115000 ; 24.3393 ; 3.28377 ; 0 ; 0
1559209000 ; 24.3442 ; 3.28369 ; 0 ; 0
1559297000 ; 24.3697 ; 3.28514 ; 0 ; 0
1559394000 ; 24.3685 ; 3.28499 ; 0 ; 0
1559484000 ; 11.6948 ; 3.28102 ; 0 ; 0
1559572000 ; 11.679 ; 3.283 ; 0 ; 0
1559656000 ; 11.6948 ; 3.2811 ; 0 ; 0
1559745000 ; 11.6997 ; 3.28087 ; 0 ; 0
1559851000 ; 11.6948 ; 3.28102 ; 0 ; 0
1559940000 ; 11.7033 ; 3.28102 ; 0 ; 0
1560037000 ; 11.6984 ; 3.2811 ; 0 ; 0
1560127000 ; 11.6802 ; 3.28079 ; 0 ; 0
1560209000 ; 23.94 ; 3.28354 ; 0 ; 0
1560293000 ; 24.0167 ; 3.28331 ; 0 ; 0
1560379000 ; 24.0203 ; 3.28362 ; 0 ; 0
1560474000 ; 24.0471 ; 3.28484 ; 0 ; 0
1560569000 ; 24.0581 ; 3.28354 ; 0 ; 0
1560655000 ; 24.0739 ; 3.28354 ; 0 ; 0
1560744000 ; 24.0836 ; 3.28323 ; 0 ; 0
1560834000 ; 11.7045 ; 3.28125 ; 0 ; 0
1560920000 ; 11.6887 ; 3.2814 ; 0 ; 0
1561011000 ; 11.6924 ; 3.28102 ; 0 ; 0
1561094000 ; 11.707 ; 3.28255 ; 0 ; 0
1561178000 ; 11.6887 ; 3.28072 ; 0 ; 0
1561280000 ; 11.6936 ; 3.28079 ; 0 ; 0
1561384000 ; 11.6924 ; 3.28102 ; 0 ; 0
1561468000 ; 11.6899 ; 3.28262 ; 0 ; 0
1561553000 ; 11.6997 ; 3.28072 ; 0 ; 0
1561648000 ; 24.2796 ; 3.28339 ; 0 ; 0
1561731000 ; 24.3576 ; 3.28354 ; 0 ; 0
1561821000 ; 36.1791 ; 3.28705 ; 0 ; 0
